L,lambda,d[0],Z[0],
8,0.43,3.4549614e+660,(3.454961425521692621390166899297095657258273979450128700208622232861907390066231126844814905021335583293137426794466476385348453930731242252895731813021385864430069863558497466708436724755348087912529794851397795341126253781427551489866586028256866768331894381152493804671517312725766034994366127232819410219281e+660 +0),
8,0.48,6.6774574e+700,(6.677457398310201637234478450294733364124616254526108041176589821674595536230179908237309703749328298418073478910436947033986241938505532978355334619343403208948332610433325876869736061891735409013227364858693331044992983232005077032783385315585062270754061559897702318133369917180682122880971621559588491794864e+700 +0),
8,0.53,2.7374681e+733,(2.737468085349180289135581845352217389325317694821672251716935435000727830327759537009110613281582364151516051588552232720192189625111169015572968721938810319780069357912369122757766746350751667099732171968764507310323983996605994024806794586963722185753392482704743814583836336621876904190974962314144254698911e+733 +0),
8,0.58,3.2184447e+758,(3.218444651162491163007733156654184119266865441526939282102562381563465197497022999332073102002173926277013060132846302898313160367885953927811509584029549798887034804115776840595077414201754436506742968835478742545208113936988396454473120167334665222580071511544401495447084770331066857872021587636585047471270e+758 +0),
8,0.63,1.1200841e+776,(1.120084092709764354241528364327726357494539177541091386372849509010458442974502165102769653642728165668970662448010381446460152984344747977561959000266011584105992369553035696588860278891104397268479321759920574044758047044505789831596608892358029135828650738903769525514248759185984370867454487733475950778157e+776 +0),
8,0.68,9.4136966e+785,(9.413696601492618305099674172077050646503601868622124448240988909909445048524089314859097064622946630178348250420233604668368572719850963454387578682402400807821367093568541536774780739875275611613239386059030186845527996888717300427843139756151522411231470868862247973914809755592954376545639817717558513713384e+785 +0),
8,0.73,1.243652e+788,(1.243652034241217704683282287083592919828104039997189633832959636536416209801858516411927741830258291176828292153104982623705459901534110403160485454611855305016311285625817438013301678742744202505366683204725459732167934832387640732179072818811341410047563998641079332121140682416925999854173984918729561645648e+788 +0),
8,0.78,1.3294215e+782,(1.329421452065734674838455675813439503955333320682488884315569754763821340209926622194167605723106217599826317553389020946307716943039593197112862085437071326075670143110327222743078161761383869388218604643875838296891499633751184803867379658692579019080216140897550117195172224314566413525721546920016640993453e+782 +0),
8,0.83,4.5632825e+767,(4.563282490185691994496036330292122007472767356999408240408704589346751255657148921502733866078970904380968518456544599365474825324977947029957536209945755714270139428306205198757773052627439222059660697933703549593156998743014688560288460636924667343193162375240861809711090009172106011016685038661779507557287e+767 +0),
8,0.88,1.4730706e+744,(1.473070557944544336943290702546841887863266187004199354670537012965277584711427285136855184047846702711353306254596428465565040450502510352776518470290902796125862318814708880412560807379388002326188711414331685727083410618678800184734378025123037680627189418683707437038389378482081105738512896669188822799360e+744 +0),
8,0.93,9.040358e+710,(9.040358040780212186135294060020640566856020796586312901820851661603964326358632077782009558441098882473449761486643648373391163506760823524759598207667593775976223006291269204194165180668222110407210180453441455055471147839661521233639736747254255409415010195421464414739632757540764181704471817024814205675632e+710 +0),
8,0.98,1.3328232e+667,(1.332823193454254637444264429439713268896141809028784624719201488428814596779805127203890485544385442837601737180471159693312941452857826989597058817866924049725244466952406033179615020220211841476520029317726292752189263578560590996121063683061215255574887202199011757260801498530911397906232543681589798765886e+667 +0),
8,1.03,3.2183819e+611,(3.218381910279496583406009794472784889253437880793094990114179847190703467938233223330740477855818630925066835843687152013372223251274144446350432100300146437386967545632858426802797583553258869484774733422070538644722235441761680646877743804496929012397499514305235918878772883294309746663139295864541731313613e+611 +0),
8,1.08,3.7510635e+542,(3.751063454667438514697411123359035349513187970955202577314256066789476307622902296842881701285808688897714684003305616173633155874110847988882808023341799461700356070500156790094145353817190256198903455388838632745483000812518460850316478048681114014537038889275180418586600360108582609417291653794375418382227e+542 +0),
8,1.13,1.9055177e+458,(1.905517732847674576821293345779182642951523874658034186596355634603180650410992586306134065456320324546645523416488107008014465980261465749242609573897961285869973565659886781602133183138808888287826399882952544404898063235401702554919180266208090024305979418362506506418322369804057234208373942542134656269645e+458 +0),
8,1.18,6.7055458e+355,(6.705545771050067148008992208757739799830533833307699080619298358371298413460400121806129469687354999454878331302233241961695760364104309588605771388520322727140557416017832773802999946379357303205213750281071190400808809533856098876416698453382035704549370380801031619986685844658617201252461900027128665023887e+355 +0),
